No,Date,Country,Cumulative_cases,Recovered_cases,Total_death,Patient_under_treatment,New_case_per_day,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
1,2020-03-02,Indonesia,2,,,2,2,,,2
2,2020-03-03,Indonesia,2,,,2,2,,,2
3,2020-03-04,Indonesia,2,,,2,2,,,2
4,2020-03-05,Indonesia,2,,,2,2,,,2
5,2020-03-06,Indonesia,4,,,4,2,,,2
6,2020-03-07,Indonesia,4,,,4,2,,,2
7,2020-03-08,Indonesia,6,,,6,2,,,2
8,2020-03-09,Indonesia,19,,,19,13,,,13
9,2020-03-10,Indonesia,27,2,,25,8,2,,6
10,2020-03-11,Indonesia,34,2,1,31,7,2,1,6
11,2020-03-12,Indonesia,34,2,1,31,7,2,1,6
12,2020-03-13,Indonesia,69,2,4,63,35,2,3,32
13,2020-03-14,Indonesia,96,8,5,83,27,6,1,20
14,2020-03-15,Indonesia,117,8,5,104,21,6,1,21
15,2020-03-16,Indonesia,134,8,5,121,17,6,1,17
16,2020-03-17,Indonesia,172,9,5,158,38,1,1,37
17,2020-03-18,Indonesia,227,11,19,197,55,2,14,39
18,2020-03-19,Indonesia,309,15,25,269,82,4,6,72
19,2020-03-20,Indonesia,369,17,32,320,60,2,7,51
20,2020-03-21,Indonesia,450,20,38,392,81,3,6,72
21,2020-03-22,Indonesia,514,29,48,437,64,9,10,45
22,2020-03-23,Indonesia,579,30,49,500,65,1,1,63
23,2020-03-24,Indonesia,686,30,55,601,106,1,6,101
24,2020-03-25,Indonesia,790,31,58,701,105,1,3,100
25,2020-03-26,Indonesia,893,35,78,780,103,4,20,79
26,2020-03-27,Indonesia,1046,46,87,913,153,11,9,133
27,2020-03-28,Indonesia,1155,59,102,994,109,13,15,81
28,2020-03-29,Indonesia,1285,64,114,1107,130,5,12,113
29,2020-03-30,Indonesia,1414,75,122,1217,129,11,8,110
30,2020-03-31,Indonesia,1528,81,136,1311,114,6,14,94
31,2020-04-01,Indonesia,1677,103,157,1417,149,22,21,106
32,2020-04-02,Indonesia,1790,112,170,1508,113,9,13,91
33,2020-04-03,Indonesia,1986,134,181,1671,196,22,11,163
34,2020-04-04,Indonesia,2092,150,191,1751,106,16,10,80
35,2020-04-05,Indonesia,2273,164,198,1911,181,14,7,160
36,2020-04-06,Indonesia,2491,192,209,2090,218,28,11,179
37,2020-04-07,Indonesia,2738,204,221,2313,247,12,12,223
38,2020-04-08,Indonesia,2956,222,240,2494,218,18,19,181
39,2020-04-09,Indonesia,3293,252,280,2761,337,30,40,267
40,2020-04-10,Indonesia,3512,282,306,2924,219,30,26,163
41,2020-04-11,Indonesia,3842,286,327,3229,330,4,21,305
42,2020-04-12,Indonesia,4241,359,373,3509,399,73,46,280
43,2020-04-13,Indonesia,4557,380,399,3778,316,21,26,269
44,2020-04-14,Indonesia,4839,426,459,3954,282,46,60,176
45,2020-04-15,Indonesia,5136,446,469,4221,297,20,10,267
46,2020-04-16,Indonesia,5516,548,496,4472,380,102,27,251
47,2020-04-17,Indonesia,5923,607,520,4796,407,59,24,324
48,2020-04-18,Indonesia,6248,631,535,5082,325,24,15,286
49,2020-04-19,Indonesia,6575,686,582,5307,327,55,47,225
50,2020-04-20,Indonesia,6760,747,590,5423,185,61,8,116
51,2020-04-21,Indonesia,7135,842,616,5677,375,95,26,254
52,2020-04-22,Indonesia,7418,913,635,5870,283,71,19,193
53,2020-04-23,Indonesia,7775,960,647,6168,357,47,12,298
54,2020-04-24,Indonesia,8211,1002,689,6520,436,42,42,352
55,2020-04-25,Indonesia,8607,1042,720,6845,396,40,31,325
56,2020-04-26,Indonesia,8882,1107,743,7032,275,65,23,187
57,2020-04-27,Indonesia,9096,1151,765,7180,214,44,22,148
58,2020-04-28,Indonesia,9511,1254,773,7484,415,103,8,304
59,2020-04-29,Indonesia,9771,1391,784,7596,260,137,11,112
60,2020-04-30,Indonesia,10118,1522,792,7804,347,131,8,208
61,2020-05-01,Indonesia,10551,1591,800,8160,433,69,8,356
62,2020-05-02,Indonesia,10843,1665,831,8347,292,74,31,187
63,2020-05-03,Indonesia,11192,1876,845,8471,349,211,14,124
64,2020-05-04,Indonesia,11587,1954,864,8769,395,78,19,298
65,2020-05-05,Indonesia,12071,2197,872,9002,484,243,8,233
66,2020-05-06,Indonesia,12438,2317,895,9226,367,120,23,224
